State,percent_low_access,percent_houses_SNAP,percent_house_no_vehicle_access,MedianFamilyIncome,PovertyRate,state_code
Alabama,43.474806976787,14.311725663834258,6.123821591673386,63339.955562443254,18.153957289691313,AL
Alaska,49.29494770011447,10.019065481403405,8.708894899596215,90864.46719199793,10.86964241211662,AK
Arizona,46.22559670914517,12.530754014086579,6.72035581837807,69929.56952153453,16.488910323611442,AZ
Arkansas,53.7078889049692,12.797493470399726,6.4179258014234355,58397.72640309746,18.18740732764092,AR
California,27.386186852209736,9.419313761767246,7.465984093179741,87909.59983392991,14.445747992508537,CA
Colorado,42.16982197552054,8.527838659251405,5.517145597171225,87410.42189926674,11.203548042271569,CO
Connecticut,50.81414969991022,12.181721510013588,8.84269196630119,101897.59814147511,10.330814216849745,CT
Delaware,52.133118915198665,12.163121499750217,6.338939575865403,81543.14156497025,12.26901999478804,DE
District of Columbia,8.779953566674367,14.638910864731711,37.35822456853401,125048.13827737508,17.1899430468837,NA
Florida,48.1405657371747,14.564005346052895,6.655816985819054,67868.59427091622,14.995919114146801,FL
Georgia,56.389664245818885,14.137585397525202,6.833531162566545,70964.55831945506,16.671637247948514,GA
Hawaii,43.83573929593524,11.177850300216543,8.252990086485203,93056.88450415233,10.030917127900366,HI
Idaho,54.471472624717556,11.305504929169082,4.209296385276006,65929.48568368354,14.140168233623509,ID
Illinois,37.54769055803331,13.045930387854218,10.808559569912747,84461.19209773204,13.495472070276836,IL
Indiana,50.47888569083386,10.897250928599918,6.6546263739162335,69234.1498906885,14.598177550764158,IN
Iowa,43.74092973405923,10.979668886749575,5.881336895944256,75294.38993620621,12.149692501366385,IA
Kansas,52.64976772779815,8.15442192040975,5.461399015912296,75257.63466624054,12.824473610975787,KS
Kentucky,37.827222265367276,15.242926454898791,7.4761986435770496,63356.86739048709,18.44291683556608,KY
Louisiana,49.23950648656232,15.683538151773934,8.441412668656993,63655.23965440288,19.829926531509017,LA
Maine,27.197200158691803,14.27410048831788,7.3098727789253415,71651.53853809318,12.728497147989144,ME
Maryland,38.77284138352134,11.82752736015665,10.61108787310014,99230.32659932895,10.880675145724567,MD
Massachusetts,48.01409792766206,12.288880382399418,12.692480590481239,103522.2837792744,11.054596526467831,MA
Michigan,39.985774471753324,14.253501864941272,7.879234852452209,72260.26012898641,15.396314424645194,MI
Minnesota,50.74696569050279,8.55699931056852,7.137795745263932,88729.9804020522,10.31614785276941,MN
Mississippi,57.06678502354162,16.31952162098214,6.4396003470255465,55534.11532646076,21.449775266850622,MS
Missouri,49.05128178810553,11.74798532592535,7.644691939900761,73104.41511882217,14.345128151440216,MO
Montana,43.61041625607051,10.116526328895747,5.246980642420661,67891.19097802001,13.977278694986436,MT
Nebraska,44.77624934226412,9.046496470816635,5.6113322147185665,75771.27965392653,11.786439224657398,NE
Nevada,37.49616282010597,13.010683229813663,8.142111801242235,69350.30065825324,14.144451076835818,NV
New Hampshire,44.59524334014448,7.333522167819906,5.260389268805891,93693.27965907508,8.203186324033204,NH
New Jersey,41.42233743946412,9.02447143443796,11.441188914745082,103322.96140565688,10.451717752739043,NJ
New Mexico,55.16926891736949,16.54862616013495,5.692732453452448,60656.237698354744,19.803684623823372,NM
New York,21.751031138137265,14.960558258646264,29.04452253457515,88606.58020401956,14.723173915587845,NY
North Carolina,44.47250338551282,13.766506326173417,6.190024177904519,68329.07081050989,15.928412897385465,NC
North Dakota,51.49771555075818,7.731727787419272,5.6694358303223416,82305.08361099093,11.565917325685302,ND
Ohio,45.49485702080977,13.83017246903671,8.273061311824756,72195.87481631739,15.046085815945647,OH
Oklahoma,47.27083655994867,13.188332363312677,5.618131397856825,64465.168822305925,16.63982541223148,OK
Oregon,39.35687486067875,17.578005158867576,7.8364620544090675,76058.49502235148,14.325658601217306,OR
Pennsylvania,36.875643531026746,13.219340318125234,11.01216520578995,79013.78002916434,13.13196926339548,PA
Rhode Island,43.06053676393047,15.874032882011605,9.581963249516441,84259.70585759262,13.376365495023128,RI
South Carolina,51.10791280426794,13.863015432652242,6.796707271506862,64567.291134309344,16.775702712262234,SC
South Dakota,56.53614679800536,9.654588217772012,5.352765590383577,71947.83140518166,13.302206986312658,SD
Tennessee,49.012693612853866,15.212235397537327,6.08413219375413,65483.80094003001,16.665893898698506,TN
Texas,49.4199751598304,13.086784356668375,5.74667544853245,73962.30137690596,16.012078346551913,TX
Utah,48.91563867527049,7.864034308162772,4.499072567597745,79666.06973008854,10.832853429140496,UT
Vermont,24.75161448586556,12.127888567395356,6.7305667558356275,78016.72645568194,11.430868362469456,VT
Virginia,41.52389257544083,8.639732250890509,6.486581337059249,98473.00230931943,11.135379484571713,VA
Washington,44.341560909742526,13.381711064869876,7.334329233197816,88073.65410943031,11.841030375311913,WA
West Virginia,38.1298590281458,15.964657103469223,8.324223552068455,59075.425687932875,18.141608607475256,WV
Wisconsin,41.869876240243954,11.827124514424275,6.936626884840913,76369.12522536915,12.198733371244469,WI
Wyoming,63.069304822701575,5.835269020050335,3.9108952349049493,78106.48785364763,11.394611497695278,WY
